,OFTIC,CNAME_actual,PENDS,PDICITY,AMASKCD,MEAN,STDEV,BPS,CPS,CPX,DPS,EBI,EBT,EPS,GPS,GRM,NAV,NDT,NET,PRE,ROE,SAL
9895,ROL,ROLLINS INC,2018-12-31,QTR,152918,28.296000000000003,3.780173540989885,1.45,0.1467,7.534,0.1267,71.182,87.825,0.1067,0.1067,50.24,711.908,-115.485,50.968,71.472,3.959999999999999,444.623
9896,ROL,ROLLINS INC,2019-03-31,QTR,108389,23.8335,1.3741260252732752,1.4637,0.1521124999999999,6.481,0.0733,55.779,72.462,0.0933,0.0933,49.37,719.124,-3.110666666666674,44.226,56.053,3.129999999999999,429.069
9897,ROL,ROLLINS INC,2019-06-30,QTR,81822,26.555666666666667,3.5644333818060536,1.5312,0.157525,6.955,0.07,88.606,108.738,0.1333,0.1333,51.65,752.264,109.26366666666664,64.295,86.959,2.299999999999999,523.957
9898,ROL,ROLLINS INC,2019-09-30,QTR,81822,25.2002,5.403708606133384,1.6426,0.1629375,5.265,0.07,98.89,120.58,0.1467,0.0867,51.71,806.897,221.638,70.647,96.037,1.4699999999999989,556.466
9899,ROL,ROLLINS INC,2019-12-31,QTR,152918,23.5835,4.45015606467908,1.6609,0.16835,8.445,0.07,74.299,96.905,0.1067,0.1067,49.74,815.75,197.224,52.35,72.009,0.6399999999999988,505.985
9900,ROL,ROLLINS INC,2020-03-31,QTR,108389,35.5998,3.311565596511716,1.72743,0.1737625,6.674,0.0533,57.565,79.162,0.0867,0.0867,48.52,800.371,174.04874999999998,43.268,55.4,-0.1900000000000012,487.901
9901,ROL,ROLLINS INC,2020-06-30,QTR,81822,24.0,0.9432804461028568,1.79396,0.179175,5.767,0.0533,104.98,126.905,0.1533,0.1533,53.8,862.83,150.87349999999998,75.358,103.52,-1.0200000000000014,553.329
9902,ROL,ROLLINS INC,2020-09-30,QTR,82384,24.0,2.7216280666787176,1.86049,0.1845875,5.249,0.0533,119.169,141.573,0.1733,0.16,52.81,932.716,127.69825,86.27,115.593,-1.8500000000000012,583.698
9903,ROL,ROLLINS INC,2020-12-31,QTR,108389,31.8666,1.9090370085464552,1.92702,0.19,5.539,0.053,87.489,111.007,0.13,0.13,50.34,941.36,104.523,62.619,86.898,-2.680000000000001,536.292
9904,ROP,ROPER INDUSTRIES,2015-03-31,QTR,53685,181.9090909090909,21.598400614186897,48.0134,2.57,9.95,0.25,248.796,297.104,1.55,1.54,59.97,4807.395,2624.826,157.008,228.281,13.13,867.181
9905,ROP,ROPER TECH,2015-06-30,QTR,56596,165.75,17.902513789968157,49.9332,1.7,10.723,0.25,254.474,304.367,1.7,1.69,60.13,5019.349,1846.136,172.905,232.777,14.08,892.1
9906,ROP,ROPER TECH,2015-09-30,QTR,84139,178.71428571428572,21.746373534563453,50.9498,2.23,18.256,0.24,254.471,304.516,1.61,1.58,61.73,5128.905,2098.4,163.147,234.453,12.86,886.1
9907,ROP,ROPER TECH,2015-12-31,QTR,129088,177.125,17.19167157168178,52.5662,2.64,8.757,0.3,285.277,341.318,1.82,2.05,61.11,5298.947,2492.711,185.642,269.234,14.24,947.64
9908,ROP,ROPER TECH,2016-03-31,QTR,56596,195.58333333333331,13.1595684740892,53.6711,2.02,9.489,0.3,248.391,307.642,1.5,1.48,62.1,5441.235,2588.672,153.784,220.849,11.45,905.723
9909,ROP,ROPER TECH,2016-06-30,QTR,56596,183.72727272727272,17.714914106994193,54.776,1.66,8.859,0.3,255.578,313.9,1.56,1.54,61.0,5551.017,2469.855,159.694,227.381,11.62,934.0
9910,ROP,ROPER TECH,2016-09-30,QTR,115952,190.0,15.898113095584645,56.3695,3.088,8.585,0.3,269.59,328.2,1.65,1.63,61.3,5712.507,2206.783,169.075,243.056,12.01,947.3
